BodySite,Week,MicrobiomeLocation,BSI_Source,Group,Similarity,Distance
Axilla,Week 1,Cincinnati,ZCH,Axilla Week 1,0.2310520540281431,0.7689479459718569
Axilla,Week 1,Cincinnati,UCMC,Axilla Week 1,0.5764117549660401,0.4235882450339599
Axilla,Week 1,Hangzhou,ZCH,Axilla Week 1,0.1895842222023768,0.8104157777976232
Axilla,Week 1,Hangzhou,UCMC,Axilla Week 1,0.5256967584400319,0.47430324155996806
Axilla,Week 3,Cincinnati,ZCH,Axilla Week 3,0.20840198738241267,0.7915980126175873
Axilla,Week 3,Cincinnati,UCMC,Axilla Week 3,0.4991670089675173,0.5008329910324827
Axilla,Week 3,Hangzhou,ZCH,Axilla Week 3,0.3098626592807051,0.6901373407192949
Axilla,Week 3,Hangzhou,UCMC,Axilla Week 3,0.5117530057666662,0.4882469942333339
Groin,Week 1,Cincinnati,ZCH,Groin Week 1,0.39412702386485454,0.6058729761351455
Groin,Week 1,Cincinnati,UCMC,Groin Week 1,0.7715585988231609,0.2284414011768391
Groin,Week 1,Hangzhou,ZCH,Groin Week 1,0.43127213087515825,0.5687278691248417
Groin,Week 1,Hangzhou,UCMC,Groin Week 1,0.4329245404608075,0.5670754595391925
Groin,Week 3,Cincinnati,ZCH,Groin Week 3,0.4613118945593737,0.5386881054406263
Groin,Week 3,Cincinnati,UCMC,Groin Week 3,0.5815557093695258,0.4184442906304741
Groin,Week 3,Hangzhou,ZCH,Groin Week 3,0.40335265032191536,0.5966473496780846
Groin,Week 3,Hangzhou,UCMC,Groin Week 3,0.5254946342441602,0.47450536575583985
Stool,Week 1,Cincinnati,ZCH,Stool Week 1,0.4322521452074345,0.5677478547925655
Stool,Week 1,Cincinnati,UCMC,Stool Week 1,0.603786324613847,0.39621367538615304
Stool,Week 1,Hangzhou,ZCH,Stool Week 1,0.49344949702666374,0.5065505029733363
Stool,Week 1,Hangzhou,UCMC,Stool Week 1,0.5264382239233283,0.47356177607667177
Stool,Week 3,Cincinnati,ZCH,Stool Week 3,0.4227226384767785,0.5772773615232215
Stool,Week 3,Cincinnati,UCMC,Stool Week 3,0.4010937552136562,0.5989062447863438
Stool,Week 3,Hangzhou,ZCH,Stool Week 3,0.46878367452031366,0.5312163254796863
Stool,Week 3,Hangzhou,UCMC,Stool Week 3,0.4081015376777972,0.5918984623222028
